name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,10559,12905851046,,-84.0812205,35.9130696,,,,,
,10560,7798833765,,-84.0779217,35.9145930,,,,,
,10561,6957076382,signal,-84.0840754,35.9122836,,,,,
,10562,6957104385,,-84.0855220,35.9120228,,,,,
,10563,7061591985,,-84.0825431,35.9157910,,,,,
,10564,12905851047,,-84.0821604,35.9134929,,,,,
,10565,7063831112,signal,-84.0842271,35.9162118,,,,,
,10566,7072075560,,-83.9171100,35.9614403,,,,,
,10567,7079866499,,-84.0135239,35.9285022,,,,,
,10568,11880158436,,-83.9685898,36.0100224,,,,,
,10569,11880158435,,-83.9685099,36.0099494,,,,,
,10570,7085625374,,-84.0406919,35.9438658,,,,,
,10571,7132350180,,-83.9862364,35.9476719,,,,,
,10572,202966363,,-83.9858080,35.9471810,,,,,
,10573,7147796854,,-84.0872602,35.9251673,,,,,
,10574,9650677278,,-84.0045814,35.9753156,,,,,
,10575,202785243,,-84.0044128,35.9753125,,,,,
,10576,9847205236,,-84.0070394,35.9755428,,,,,
,10577,7185715755,,-83.9892897,35.9735147,,,,,
,10578,7202802280,,-84.0008134,36.0088972,,,,,
,10579,7202802283,,-83.9975094,36.0084786,,,,,
,10580,7202842716,signal,-83.9866714,36.0056762,,,,,
,10581,7202841408,,-83.9852790,36.0052399,,,,,
,10582,12037523004,,-84.0177279,36.0068898,,,,,
,10583,3829502994,,-83.9445199,35.9519879,,,,,
,10584,705460985,,-83.9443750,35.9520183,,,,,
,10585,7221937380,,-84.0034452,35.9920405,,,,,
,10586,7221937383,,-84.0029640,35.9934678,,,,,
,10587,7045983863,,-84.0122813,35.9354170,,,,,
,10588,7229319207,,-84.0121237,35.9352918,,,,,
,10589,3534630382,,-84.0117266,35.9347880,,,,,
,10590,8389793910,,-84.0429312,35.9919294,,,,,
,10591,7257688967,,-83.9763664,36.0292746,,,,,
,10592,7257688984,,-83.9751735,36.0299541,,,,,
,10593,7257693285,,-83.9747209,36.0310996,,,,,
,10594,11355999095,,-83.8699949,35.9567628,,,,,
,10595,2832470209,,-83.8699464,35.9569328,,,,,
,10596,11355999086,,-83.8700169,35.9566873,,,,,
,10597,11355999096,,-83.8700310,35.9566125,,,,,
,10598,11355999085,,-83.8700376,35.9565347,,,,,
,10599,11355999097,,-83.8700351,35.9564586,,,,,
,10600,3008078030,,-83.8683629,35.9557945,,,,,
,10601,7263893969,,-83.8699762,35.9562157,,,,,
,10602,7263893970,,-83.8700038,35.9562957,,,,,
,10603,11355999087,,-83.8700259,35.9563735,,,,,
,10604,7273695400,,-84.0241367,35.9021018,,,,,
,10605,202957996,signal,-83.9201054,35.9725674,,,,,
,10606,202867559,signal,-84.0115453,35.9774788,,,,,
,10607,7046020972,,-84.0110535,35.9771905,,,,,
,10608,202867561,signal,-84.0138556,35.9787864,,,,,
,10609,7287052794,,-83.9297451,36.0295349,,,,,
,10610,202865908,signal,-83.9289084,36.0298709,,,,,
,10611,7287052797,,-83.9328593,36.0318311,,,,,
,10612,7723312435,,-83.9327578,36.0318738,,,,,
,10613,7287052801,,-83.9323350,36.0314934,,,,,
,10614,7723312430,,-83.9322857,36.0315632,,,,,
,10615,7287052804,,-83.9326320,36.0344885,,,,,
,10616,203114956,,-83.9145932,36.0224199,,,,,
,10617,7301309906,,-84.0219568,35.9240263,,,,,
,10618,7301309908,,-84.0210870,35.9228330,,,,,
,10619,7301955204,,-83.9695974,36.0041154,,,,,
,10620,7301955202,,-83.9683384,36.0041067,,,,,
,10621,7301955201,,-83.9666940,36.0044722,,,,,
,10622,7301955203,,-83.9674082,36.0047431,,,,,
,10623,7301955205,,-83.9692087,36.0036007,,,,,
,10624,7304216533,signal,-83.9165200,35.9745245,,,,,
,10625,7308729033,,-84.0699714,35.9443395,,,,,
,10626,1833473082,,-84.0044697,35.9410098,,,,,
,10627,202796950,signal,-83.9731264,36.0098733,,,,,
,10628,7375575794,,-84.0238390,35.9010190,,,,,
,10629,7375575800,,-84.0251076,35.9007556,,,,,
,10630,3586451101,,-83.9962658,35.9343476,,,,,
,10631,7477778375,,-83.8660275,35.9960011,,,,,
,10632,7477779102,,-83.8641122,35.9954048,,,,,
,10633,7477779094,,-83.8628088,35.9938123,,,,,
,10634,7477779099,,-83.8630297,35.9946217,,,,,
,10635,7477779100,,-83.8629887,35.9932810,,,,,
,10636,7477779101,,-83.8646319,35.9951376,,,,,
,10637,7484511419,,-84.0600641,35.9178089,,,,,
,10638,202993166,,-83.8834275,36.0024772,,,,,
,10639,8853809256,,-83.8845993,36.0025927,,,,,
,10640,11043203723,,-83.8822401,36.0022938,,,,,
